ID,Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
7438,M,BLACK,48 or older,FALSE,1,Specialized,At least some college,2,Violent/Non-Sex,Greater than 2 to 3 years,2,1,3 or more,0,0,0,TRUE,TRUE,0,0,TRUE,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,408.5,0,0,0,0,0.101591187,0.447062424,TRUE,0
6956,M,BLACK,33-37,FALSE,1,Specialized,High School Diploma,2,Violent/Sex,More than 3 years,9,3,2,2,1,1,FALSE,FALSE,2,0,TRUE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,0,0,FALSE,1
3171,M,BLACK,48 or older,FALSE,1,Specialized,High School Diploma,3 or more,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,5 or more,3,FALSE,TRUE,3 or more,2,FALSE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,4,0,1,120.5,0,0,0,0,0.979253112,1.515560166,FALSE,1
24259,M,WHITE,48 or older,FALSE,1,Standard,High School Diploma,0,Drug,Less than 1 year,3,5,0,0,4,0,FALSE,FALSE,0,3,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,0.019512195,0.890853659,FALSE,1
8298,M,BLACK,28-32,FALSE,1,Standard,High School Diploma,2,Property,Greater than 2 to 3 years,5,6 or more,1,0,5 or more,3,FALSE,FALSE,1,2,FALSE,0,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,,,,,,0,0,FALSE,1
17084,M,BLACK,18-22,FALSE,1,Standard,High School Diploma,2,Violent/Non-Sex,1-2 years,5,3,0,3,2,1,FALSE,FALSE,1,1,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,5,3 or more,1,10.42222222,0.06666667,0.06666667,0,0,1,0.778784648,FALSE,1
10339,M,BLACK,48 or older,FALSE,1,Standard,Less than HS diploma,1,Violent/Non-Sex,1-2 years,10 or more,6 or more,3 or more,5 or more,5 or more,5 or more,FALSE,FALSE,3 or more,4 or more,TRUE,3 or more,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,,,,,,0,0,FALSE,1
1935,M,BLACK,48 or older,FALSE,1,Standard,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,3,5,3 or more,1,0,1,FALSE,FALSE,1,0,TRUE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,,,,,,0.656375839,0.490268456,FALSE,1
25094,M,BLACK,38-42,FALSE,1,Standard,Less than HS diploma,3 or more,Property,Less than 1 year,5,2,0,3,0,1,FALSE,FALSE,1,0,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,29.1,0.050000001,0,0,0,1,1.255154639,FALSE,0
8326,M,BLACK,43-47,FALSE,2,Specialized,At least some college,2,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,0,5 or more,TRUE,TRUE,2,4 or more,FALSE,3 or more,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4 or more,0,0,3 or more,54.88,0,0,0,0,0,0,TRUE,0
23921,M,WHITE,43-47,FALSE,2,Specialized,High School Diploma,1,Violent/Non-Sex,1-2 years,3,0,2,0,0,0,TRUE,FALSE,0,1,TRUE,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,10 or more,0,0,29.5,0,0,0,0,0.983050847,1,FALSE,0
3805,M,BLACK,48 or older,FALSE,2,Specialized,Less than HS diploma,1,Other,Less than 1 year,10 or more,5,3 or more,4,1,2,FALSE,FALSE,1,2,TRUE,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,10 or more,0,0,33,0,0,0,0,0.993939394,1,FALSE,0
12051,M,BLACK,48 or older,FALSE,2,Specialized,Less than HS diploma,2,Drug,Less than 1 year,10 or more,5,3 or more,5 or more,5 or more,4,FALSE,TRUE,3 or more,2,TRUE,3 or more,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 or more,0,0,0,,,,,,0,0,FALSE,1
